Row Labels,Sum of Net Quantity,Sum of Gross Sales,Sum of Discounts,Sum of Returns,Sum of Total Net Sales
Accessories,84,3892.4,-107.02,0,3785.38
Art & Sculpture,1427,90316.6,-2955.82,-2879.93,84480.85
Basket,1461,143815.5,-4584.42,-4439.69,134791.39
Christmas,575,15476,-345.19,-670,14460.81
Easter,1,38,-3.8,0,34.2
Fair Trade Gifts,110,2258,-53.33,0,2204.67
Furniture,27,2034,-169.04,0,1864.96
Gift Baskets,1,19.5,0,0,19.5
Home Decor,404,27114.55,-991.21,-423.35,25699.99
Jewelry,991,31048,-965.85,-509.2,29572.95
Kids,140,3838,-116.66,0,3721.34
Kitchen,809,16096,-431.11,-328.07,15336.82
Music,98,2643.5,-82.19,-142.41,2418.9
One-of-a-Kind,12,2180,-71.99,0,2108.01
Recycled Art,99,3792.8,-88.64,0,3704.16
Skin Care,101,2609.5,-37.7,0,2571.8
Soapstone,199,4795.5,-96.91,-69.5,4629.09
Textiles,43,1889,-112.9,-97,1679.1
(blank),8,560.5,0,0,560.5
Grand Total,6590,354417.35,-11213.78,-9559.15,333644.42
